id,text,created_at,hashtags
1757555248695316652,"@Dhif_28 @jeongssaem Wkw disini lebih banyak yg dukung 02/03, suatu hal yg aneh kalo dukung 01 atau PKS",2024-02-13 23:59:59+00:00,
1757555240478650786,@hnurwahid 01 di hati tanpa di mahar  Rp.1 dari PKS,2024-02-13 23:59:57+00:00,
1757555230932377662,"@FeniRose_ Sucess for song. Btw kl anda di 02, twit anda ini akan dihujat habis2an oleh pendukung 01, dihina, diremehkan, direndahkan.",2024-02-13 23:59:55+00:00,
1757555228231217287,"@PartaiSocmed Sayang yg terjadi adalah 01 menang diputaran kedua, dan buzzer 02 masuk RSJ.",2024-02-13 23:59:54+00:00,
1757555154495386083,"@kumparan Lalu mereka bilang ""kumparan ikut serta menjadi bagian usaha terakhir menjatuhkan 02. 
Ini pasti kubu 01 dan 03 nih, ayo.. ngaku saja atau kami laporkan!!!"".
😂😂",2024-02-13 23:59:37+00:00,
1757555153077415970,@NarenBabu4 @Mr_ViolentBoy Telangana vallani adugu thelustadi….,2024-02-13 23:59:36+00:00,
1757555137323663851,@Hussnain_ali_01 ki Shaq,2024-02-13 23:59:33+00:00,
1757555125252772293,"01 AMIN Win Election

Jelang Pemilu yang digelar besok, Rabu, 14 Februari 2024 Pasangan Anies-Gus Imin (AMIN) 
#01AMINwinElection
@aniesbaswedan
@cakimiNOW https://t.co/rHKb2pp2Xw",2024-02-13 23:59:30+00:00,01AMINwinElection
1757555119976268097,"@herculep638 Nah kan ketahuan dongonya,panik ya???",2024-02-13 23:59:29+00:00,
1757555104465703408,@Hope42019 Srk meeda paddarenti,2024-02-13 23:59:25+00:00,
1757555058697539925,"@mharisman Hahai...soal yang menarik. Top. Bikin ngakaknya sarkas tersembunyi.
*Klo jalan putaran 2 dan 01 gabung 03,artinya 02 keoookkk.
*Sblm (dirty vote) 02 porsi lebih gedhe.Jadi penggunaan tergerus seharusnya ""suara 02 tergerus oleh 03"".
Cerdas!Saya suka. Auto follow.",2024-02-13 23:59:14+00:00,
1757555052146016758,@zainul_munas @aniesbaswedan @cakimiNOW Semoga 01 menang...amin,2024-02-13 23:59:12+00:00,
1757554979345473897,"@zqhr @Ujuveveve_ @ahgalucu Ya berarti lu juga merasa Kalau lu homophobic, pantas tolol dan gak nyambung asal buat statement ngawur 👎🏻",2024-02-13 23:58:55+00:00,
1757554940355231772,@kimsoyaaaah lee seung-gi,2024-02-13 23:58:46+00:00,
1757554888828141573,"@UyokTweet Siap 01
#01AMINwinElection 
Menang.menang.menang..yess ✊☝️👍❤",2024-02-13 23:58:33+00:00,01AMINwinElection
1757554861313593530,@MurtadhaOne1 TERSRRAH 02/03 ASAL JANGAN 01,2024-02-13 23:58:27+00:00,
1757554857660362838,"@SOBAT_ANIES Ada tim caleg DPRD yg bukan pengusung 01  datang membawa amplop isi nya 50 rb , dia bilang milih presiden mah bebas yg penting calegnya",2024-02-13 23:58:26+00:00,
1757554833568223340,@tekarok007 @Walidainj_037 Berarti cuman nambahin yg ada di 01 gitu yaaa... 02 udah bener berarti yaa apa yg dijabarin difilm itu hahahahahaaha.,2024-02-13 23:58:20+00:00,
1757554817495621980,"𝙼𝚎𝚖𝚋𝚊𝚌𝚊! 

𝙸𝚖𝚙𝚕𝚎𝚖𝚎𝚗𝚝𝚊𝚜𝚒𝚔𝚊𝚗 𝚙𝚒𝚕𝚒𝚑𝚊𝚗 kita 𝙷𝙰𝚁𝙸 𝙸𝙽𝙸 14 𝙿𝙴𝙱𝚁𝚄𝙰𝚁𝙸 2024 '𝚄𝚃𝙺 𝙿𝙴𝚁𝚄𝙱𝙰𝙷𝙰𝙽 𝙸𝙽𝙳𝙾𝙽𝙴𝚂𝙸𝙰' 𝚋𝚎𝚛𝚜𝚊𝚖𝚊 𝙰𝙼𝙸𝙽 01 𝙸𝚗𝚜𝚢𝚊𝚊 𝙰𝚕𝚕𝚘𝚑 𝚢𝚐 𝚝𝚎𝚛𝚋𝚊𝚒𝚔 𝚕𝚋𝚒𝚑 𝚜𝚍𝚒𝚔𝚒𝚝 𝙼𝚞𝚍𝚑𝚊𝚛𝚊𝚝𝚗𝚢 🤲 https://t.co/RkMuTjS8EU",2024-02-13 23:58:16+00:00,
1757554814798746060,"@miewnatozaki Ya masa mau ikutan nimbrung kak, apa gak digibeng se rp ntar",2024-02-13 23:58:16+00:00,
1757554807689318510,@AdamVelcro Lawan rezim lopar lapor dgn memilih AMIN 01 dlm pemilu hari ini,2024-02-13 23:58:14+00:00,
1757554791348043948,@Octavio_01 por pr0stituta,2024-02-13 23:58:10+00:00,
1757554767205966184,"Ngapain ngomong lembut ke homophobic, kocak 🤪",2024-02-13 23:58:04+00:00,
1757554765167460768,Lama gak main ini 😅,2024-02-13 23:58:04+00:00,
1757554750240047562,"Jadi beneran sadar kalau punya keluarga besar, baik dari pihak ibu dan ayah yg gencar mendukung 01 adalah sebuah privilege. 

Mereka gak kemakan hoax, gak jadi korban framing, paham sepak terjang pak anies waktu jadi gubernur DKI walau mereka bukan warganya.",2024-02-13 23:58:00+00:00,
1757554722503078112,"Kemayoran serdang banjir gaess, semoga sebagai macan macan kemayoran tetep semangat ya para ninja warrior 01, ditunggu di tps tps se kecamatan kemayoran #AniesMuhaimin2024 
#pem1lu2024
#hariperubahan",2024-02-13 23:57:54+00:00,"AniesMuhaimin2024, pem1lu2024, hariperubahan"
1757554710276628827,@strike_bravo_b Harus dishare ke timses 01 dan 03 biar yakin bahwa 02 dalang semuannya,2024-02-13 23:57:51+00:00,
1757554703691649351,Allah akbar,2024-02-13 23:57:49+00:00,
1757554690273710489,@txtdrpemerintah Wahhhhh sekarang gw tau kenapa nihh manusia satu jadi mantunya Jokowi🤌🤌🤌,2024-02-13 23:57:46+00:00,
1757554634955391038,BISMILLAH 01,2024-02-13 23:57:33+00:00,
1757554619532890593,@degreatiskandar Yang 01 nya buat ane mbah,2024-02-13 23:57:29+00:00,
1757554618870157410,masyaAllah deh menurutku pagi ini disertai hujan tuh berkah banget... bismillah berkah juga buat 01 🥹 AAMIIN,2024-02-13 23:57:29+00:00,
1757554608183058775,Teringat surat cinta q ini https://t.co/Xm9FTlxPXX,2024-02-13 23:57:27+00:00,
1757554603678376055,"Bismillahirrahmanirrahim,

Allahumma Sholli ala Sayyidina Muhammad Wa ala Ali Sayyidina Muhammad🤲🏻

Allahumma innii as-aluka ‘ilman naafi’a, wa rizqon thoyyibaa, wa ‘amalan mutaqobbalaa.",2024-02-13 23:57:25+00:00,
1757554594216042501,Eksil dan 01 itu sebenarnya terletak di pakta ulama yg melarang diskusi dari spektrum kiri gak sih? Padahal diskusi dari spektrum kiri jg dibutuhkan buat mengentas kejahatan genosida 65-66 dan eksil para diaspora ://,2024-02-13 23:57:23+00:00,
1757554565849678107,Kai wai yanzu dadda da ruwan ga na banza sunyi tsada🤔😅 https://t.co/byq8JUFzFf,2024-02-13 23:57:16+00:00,
1757554521872765389,TPS 01 Purworejo sudah siap! https://t.co/gmvmvPrDzr,2024-02-13 23:57:06+00:00,
1757554519968505990,@OWNJIN_01 Yang jd penonton diem aja ... 🫠🫠,2024-02-13 23:57:06+00:00,
1757554465052504201,"@greyzone9 Capres 01, visi-misi paling rasional dan gerakan perubahannya. Termasuk partai pendukungnya oke.

Caleg PKS. Karena paling konsisten jadi oposisi dan program grassroot oke

DPD Jakarta Timur gak ada yang cakep, pilih Silvyana Murni (cawagub pilgub 2017) / Fahira Idris",2024-02-13 23:56:52+00:00,
1757554448493404615,"Hari ini yang penting dateng ke TPS perkara nyoblos no 01, 02 atau 03 itu bebas, mau coblos semuanya juga sekarepmu raono sing ngerti juga 😋",2024-02-13 23:56:48+00:00,
1757554438091456764,"@MahasiswaUMS Amaan, cenderung rame kok. Dulu aku ngekos deket toko baju cikcik, nah burjo atau dapur menco buka, ndeerr.",2024-02-13 23:56:46+00:00,
1757554436430553253,"*Saat nya  Perubahan menuju Indonesia lebih baik 01 AMIN Win Election*

#01AMINwinElection

@aniesbaswedan
@cakimiNOW https://t.co/HmMIhVL7iB",2024-02-13 23:56:46+00:00,01AMINwinElection
1757554395670294936,@detiksumut_ Payah,2024-02-13 23:56:36+00:00,
1757554376061878618,"@adyrnm @kiri_progresif @SoundOfYogi Makanya aneh aja, harus di bujuk2 dan di baikin biar mereka mau pilih 01 kalau 03 kalah 😂 sumpah kocak 🤣",2024-02-13 23:56:31+00:00,
1757554351508464076,"@Prvt_mansion Padahal coki pardede ada di 02, tapi darknya ko di 01 wkwk",2024-02-13 23:56:25+00:00,
1757554328599179577,Jadi ini totalnya 16 member ya?,2024-02-13 23:56:20+00:00,
1757554288421929354,"01, 02, 03, sayang semuanya ✨
Semoga pemilu berjalan dengan LUBERJURDIL (Langsung, Umum, Bebas, Jujur, dan Adil). Salam Demokrasi 🔥",2024-02-13 23:56:10+00:00,
1757554281350336967,pilihan yang sebenernya bukan 01 02 03 tapi pilih ke tps apa tetep boboan 😇😇,2024-02-13 23:56:09+00:00,
1757554271464349804,"@flyingfreedom__ @Mdy_Asmara1701 Gini ja deh dr pd pjg2
di jmn jkw apa lu puas?
hrg murah?
lapangan krj buat lu, trutama yg gw rasa buat anak gw sdr. Krj pk duit, ditambah lapangan krjny minim
Apa lu mau nerusin hal spt ini
Dah lah tmn, ayo berubah. Dg 02 sdh pst akn sm, tp dg 01, minimal kt da harapan lbh baik",2024-02-13 23:56:06+00:00,
1757554230020448626,"Bismillah untuk Indonesia yang lebih Baik 🇮🇩 🤲

01 ☝ https://t.co/nvgBFbZD8Z",2024-02-13 23:55:56+00:00,
1757554229638803925,"@minygiiii_ @rumyblue Namanya aje twatter. Mayoritas isinye pendukung 01. Sok intelek tp nol aksi alias buacot doang, gausa diseriusin tolol tololin aje",2024-02-13 23:55:56+00:00,
1757554203877351540,"@ferrykoto @aniesbaswedan Pendukung 01 abaikan postingan model gini, ini taktik utk bikin emosi dan mendorong pendukung 01 bersikap buruk utk disebarluaskan",2024-02-13 23:55:50+00:00,
1757554196931592243,"Siapapun yang kepilih mau 01, 02,03 endingnya juga bakal jadi 1 itu nanti ke 3 paslon.. tenang aja mereka juga bakal tetap dapat kursi untuk ikut ambil andil ngurusin negara..",2024-02-13 23:55:48+00:00,
1757554169177882759,lowercase mgk 😭 so real,2024-02-13 23:55:42+00:00,
1757554135036272957,"Harusnya minimal di lawan pake data juga, bukan bikin narasi alay begini 🥱
Buktiin kalau semua data resource dari Dirty Vote itu salah🤪
Curang di awal sampe akhir pun sama
Nanti teriak2, kalau 01 menang b aja
03 menang b aja
02 menang, curang curang
LAHHH EMANG JELAS CURANG!!!",2024-02-13 23:55:34+00:00,
1757554131391451619,"@m_amarudinn @Bull_winner Buzzer??? kamu bukan yang buzzer centang biru biar dapet duit kah? 01 lagi sibuk jaga TPS
https://t.co/ivuB2YoGbS",2024-02-13 23:55:33+00:00,
1757554111858532811,@jeonkiie_01 tempatku sejuta ka,2024-02-13 23:55:28+00:00,
